Name,Equation number,Model,Input variable,Output variables,Equation shape,Zotero reference,IPCC risks,Input categories,Output categories
Total agriculture impact,A.1,FUND v.3.8,"Damage in agricultural production,Damage in agricultural production level ,Damage in agricultural production due to CO2 fertilisation",Total agriculture impact,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=7NEFIDYW))  ,"Food production reduction,Food security reduction",Production,Production
Agriculture impact of the rate of climate change,A.2,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter for impact of climate change on economic welfare ,Non-linearity parameter,Speed of adaptation parameter",Damage in agricultural production,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=GDB5BXVY))  ,"Food security reduction,Food production reduction",", Temperature",Production
Agriculture impact of the level of climate change,A.3,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter related to warming of 2.5°C ,Parameter related to warming of 3.2°C ",Damage in agricultural production level ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=XSXBCZLF))  ,"Food production reduction,Food security reduction",", Temperature",Production
Agriculture impact of fertilisation,A.4,FUND v.3.8,"Time,Region,Pre-industrial concentration of CO2,Atmospheric CO2 concentrations ,Parameter related to CO2 fertilisation",Damage in agricultural production due to CO2 fertilisation,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=9AKBR3NN))  ,"Food security reduction,Food production reduction",", CO2 concentration",Production
Agriculture production relative loss,A.5,FUND v.3.8,"Gross agricultural product,GDP in region r at time t ,Gross domestic product per capita,Time,Region,Income elasticity parameter",,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=YE8XS39V))  ,"Food production reduction,Food security reduction","Production, GDP, ",
Forestry impact,F.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Global mean temperature ,Parameter for impact of climate change on economic welfare ,Income elasticity parameter ,Expert guess parameter ,Parameter for the effect of doubling atmospheric CO2 concentration on forest value ",Change in forestry consumer and producer surplus ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=GWFZADWT))  ,Loss in terrestrial ecosystem,", GDP, Temperature",Production
Water resources impact,W.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Global mean temperature ,Parameter for benchmark impact ,Parameter for economic growth response ,Parameter for population growth response ,Parameter for impact response to warming ,Parameter for technological progress ",Change in water resources ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=FCPZZUZT))  ,"Loss in freshwater ecosystem,Water security reduction,Water scarcity",", GDP, Population, Temperature",
Space heating impact,E.1,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for benchmark impact ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Decrease in expenditure on space heating ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=9&annotation=L5D97PP2))  ,,", GDP, Temperature, Population",Consumption
Space cooling impact,E.2,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for economic growth response ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Increase in expenditure on space cooling ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=10&annotation=9HNIT94Y))  ,"Extreme heat,""Heat, malnutrition and harm from wildfire""",", GDP, Temperature, Population",Consumption
Potential cumulative dryland impact,SLR.1,FUND v.3.8,"Time,Region,Dryland loss due to one metre sea level rise ,Sea level rise above pre-industrial levels ,Parameter calibrated to a digital elevation model ,Maximum dryland loss in region ",,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=8NBHZVUR))  ,Loss in terrestrial ecosystem,", Sea level rise",
Potential dryland loss without protection,SLR.2,FUND v.3.8,"Potential cumulative dryland loss without protection ,Actual cumulative dryland loss ",Potential dryland loss without protection ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=U2LKEDGJ))  ,Loss in terrestrial ecosystem,", Natural capital",
Actual dryland loss in the current year,SLR.3,FUND v.3.8,"Fraction of the coastline protected ,Potential dryland loss without protection ",Dryland loss in year ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=XPNAQZ8K))  ,Loss in terrestrial ecosystem,,
Actual cumulative dryland loss,SLR.4,FUND v.3.8,"Actual cumulative dryland loss ,Dryland loss in year ",Actual cumulative dryland loss ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=62EHGDDF))  ,Loss in terrestrial ecosystem,"Natural capital, ",Natural capital
Value of dryland,SLR.5,FUND v.3.8,"Time,Region,Unit value of dryland ,GDP in region r at time t ,Area ,Parameter ,Normalisation constant ,Income density ",Unit value of dryland ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=C2QI8ZFD))  ,Loss in terrestrial ecosystem,", GDP",
Wetland loss,SLR.6,FUND v.3.8,"Time,Region,Fraction of coast protected against sea level rise ,Sea level rise above pre-industrial levels ,Parameter for annual unit wetland loss due to sea level rise ,Parameter for annual unit wetland loss due to coastal squeeze ",Wetland loss at time ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=IICHUVN9))  ,Loss in freshwater ecosystem,", Sea level rise",
Cumulative wetland loss,SLR.7,FUND v.3.8,"Cumulative wetland loss ,Total amount of wetland exposed to sea level rise ,Wetland loss at time ",Cumulative wetland loss at time ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=E9BCWYSC))  ,Loss in freshwater ecosystem,,
Wetland value,SLR.8,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population density ,Cumulative wetland loss at time ,Total amount of wetlands in 1990 ,Income elasticity of wetland value ,Normalisation constant ,Normalisation constant ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Wetland value at time ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=RZLH5GJG))  ,Loss in freshwater ecosystem,", GDP, Population",
Level of protection,SLR.9,FUND v.3.8,"Net present value of protection if whole coast is protected ,Net present value of the wetlands lost due to full coastal protection ,Net present value of land lost without any coastal protection ,Net present value of wetland lost due to coastal squeeze if whole coast is protected ",Fraction of coastline to be protected ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=13&annotation=T5RHM6IP))  ,Coastal flooding / storm,,
Net present cost of protection,SLR.10,FUND v.3.8,"Time,Region,Annual unit cost of coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ",Net present costs of coastal protection at time ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=MW95T7K8))  ,Coastal flooding / storm,", Sea level rise, GDP, Parameter, Consumption",
Net present cost of wetland loss,SLR.11,FUND v.3.8,"Time,Region,Annual unit wetland loss due to full coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Population growth rate ,Growth rate of wetland ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of wetland value ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Net present value of wetland loss at time ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=Z6DEIBXE))  ,Loss in freshwater ecosystem,", Natural capital, Sea level rise, GDP, Population, Parameter, Consumption",
Net present cost of dryland loss,SLR.12,FUND v.3.8,"Time,Region,Current dryland loss without protection at time ,Current dryland value ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of dryland value , Current income density growth rate ",Net present value of dryland loss at time ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=15&annotation=S6374B6G))  ,Loss in terrestrial ecosystem,", Natural capital, GDP, Parameter, Consumption",
Ecosystem loss,E.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Change in regional mean temperature ,Number of species ,Parameter ,Parameter ,Parameter ,Parameter for number of species ",Value of the loss of ecosystems at time ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=USHT735A))  ,Loss in terrestrial ecosystem,", GDP, Population, Temperature",
Number of species,E.2,FUND v.3.8,"Number of species ,Parameter ,Parameter ,Change in regional mean temperature ",Number of species ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=C8CYP6ED))  ,Loss in terrestrial ecosystem,", Temperature",
Human health : diarrhoea,HD.1,FUND v.3.8,"Region,Population in region r at time t ,Time,Gross domestic product per capita,Regional mean temperature in degrees Celsius ,Rate of mortality from diarrhoea in 2000 in region r ,Income elasticity of diarrhoea mortality ,Parameter for non-linearity of response of diarrhoea mortality to regional warming ",Number of additional diarrhoea deaths ,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=IVEG9QJP))  ,"Food-borne diseases,Water-borne diseases",", Population, GDP, Temperature, Mortality",
